,short_window,long_window,regime,cumulative_return,sharpe
0,9,27,,2.1779468170166023,0.4654198192943938
1,6,27,,2.140739876098634,0.46319215840561623
2,8,24,,2.08004938110352,0.4334436908710198
3,8,28,,2.0495416839599545,0.4359320566859902
4,7,24,,2.0194834899902365,0.41651212669468185
5,6,33,,2.015284883422847,0.4273545686208557
6,6,30,,2.0122291992187447,0.4263005433848268
7,6,15,,1.9156859185791062,0.3839670671301613
8,8,32,,1.8878612377929687,0.38919703558869095
9,4,24,,1.88256200805664,0.38663588973276963
10,9,13,,1.874548389892582,0.36910713624962305
11,6,36,,1.873242640380868,0.38089268539367616
12,7,35,,1.8585712939453043,0.3805884483272737
13,8,16,,1.852663152465824,0.36211114235500863
14,6,18,,1.8278668493652352,0.3543630998396152
15,9,40,,1.821263933105469,0.36181504543699683
16,8,20,,1.8155473303222638,0.35327858973335025
17,7,38,,1.8142819232177738,0.3651089784241918
18,7,17,,1.8065907128906307,0.346720101102639
19,6,24,,1.8062590551757804,0.35071631940558157
20,8,36,,1.7735025750732425,0.3486912863464682
21,9,31,,1.7678305419921851,0.3473445215063363
22,5,30,,1.7580882238769484,0.34291484411062606
23,5,27,,1.7541493963623034,0.34386922074498316
24,3,16,,1.7447775946044914,0.3325049904591357
25,9,45,,1.7390902349853485,0.33572624899656706
26,7,28,,1.7329242358398427,0.3316034144329551
27,7,31,,1.7112597320556666,0.33149986337352055
28,8,44,,1.7010328002929593,0.32452496268698416
29,9,22,,1.7002589367675809,0.3101791660005945
30,6,12,,1.6953093927001956,0.3081841305589422
31,8,48,,1.6937563488769476,0.3217785497630284
32,4,22,,1.6931381207275393,0.32278536330090574
33,7,14,,1.6772535119628844,0.3031214400324548
34,9,54,,1.658810714111328,0.3084670431707437
35,5,25,,1.6441750500488272,0.3001607369967925
36,3,4,,1.6436981579589762,0.2789405600840252
37,9,36,,1.619133737182618,0.29491122749680804
38,7,21,,1.6150549005126975,0.2797337768433961
39,8,40,,1.6134604266357413,0.2914212459111863
40,9,18,,1.6035160729980495,0.27919311621613696
41,3,18,,1.5970785699462946,0.28050826487171604
42,9,49,,1.5870088128662154,0.2798021856706143
43,4,14,,1.5720008349609338,0.2700805260959519
44,6,21,,1.5256291729736373,0.249159122326833
45,3,12,,1.5226926446533167,0.24591098609197737
46,7,42,,1.4883030340576173,0.24459623830594526
47,5,22,,1.475047949218742,0.23364870393149134
48,4,12,,1.4675041772460908,0.2272992807548997
49,8,12,,1.4625322351074275,0.2213517191754963
50,3,13,,1.4573986804199246,0.2211403747567345
51,3,15,,1.4385213946533226,0.21197147091757668
52,5,17,,1.4158237524414017,0.20633473292559829
53,4,20,,1.3896419171142558,0.1983027257336451
54,6,9,,1.3641442797851582,0.17643204075501231
55,4,18,,1.3561023291015601,0.1817205827814966
56,5,15,,1.325926510620119,0.16596570522592166
57,5,10,,1.3245840960693336,0.1599318819905069
58,5,20,,1.3226383166503883,0.16816407685104048
59,4,16,,1.3047668530273415,0.15755119990626829
60,7,10,,1.29543016967773,0.14990100318263633
61,5,12,,1.1862812475585862,0.09957795504280473
62,3,6,,1.1791094110107398,0.09398381311533056
63,3,7,,1.1296671392822273,0.06889655978955334
64,3,10,,1.0454251171875002,0.025321818419268272
65,3,9,,1.003770957031253,0.00214983263031236
66,4,10,,0.9976685174560544,-0.0013319763969315958
67,4,8,,0.9931392523193356,-0.003882564619037947
68,5,7,,0.8834602307128903,-0.07032442481069771
69,4,6,,0.8365503735351555,-0.10053087082329568
