Window,Pct_Long,Pct_Short,Min_Candles,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
5,0.6,1.3,3,capital_based,,0.98,94759.59751510608,94.75959751510608,4.78130482701884,0.5917727543390268,-12.77206419954606,8.560776020611907,125,52,108189.82266616817,22,-50485.84423065184,57703.97843551633,70.27027027027027,37,75538.40133666986,14,-36327.050354003935,39211.35098266593,72.54901960784314
5,0.5,1.3,3,capital_based,,0.98,89249.3170890807,89.24931708908069,4.570809765890371,0.5659579029435227,-12.772064199546037,8.591782857071761,126,52,104756.0664863586,23,-52227.72493743895,52528.34154891965,69.33333333333334,37,74810.88642883295,14,-35994.846862793,38816.03956603995,72.54901960784314
5,0.6,1.4,3,capital_based,,0.98,86962.74067306507,86.96274067306507,4.481783862305511,0.5595125079291163,-12.77206419954606,8.524715411338043,123,52,107093.42380142208,22,-50240.2400741577,56853.183727264375,70.27027027027027,35,68268.27507019037,14,-36087.92124938968,32180.353820800694,71.42857142857143
5,0.5,1.4,3,capital_based,,0.98,81666.15958785999,81.66615958786,4.27161322634082,0.5336993594740179,-12.772064199546037,8.555824962985506,124,52,103808.50906753536,23,-51949.207298278794,51859.30176925656,69.33333333333334,35,67578.1031646728,14,-35761.11634826663,31816.986816406163,71.42857142857143
4,0.5,1.3,3,capital_based,,0.98,43118.202465057344,43.118202465057344,2.543655631795061,0.36508958571798017,-19.103309348418346,7.937609539431602,119,56,93035.90605926514,18,-50579.98674011229,42455.91931915285,75.67567567567568,30,46971.42852401736,15,-46309.145378112866,662.2831459044974,66.66666666666666
4,0.6,1.3,3,capital_based,,0.98,41097.629680633574,41.097629680633574,2.4415479240345483,0.3555546074093987,-19.103309348418385,7.842254276558114,113,52,89397.34162902836,16,-49067.24655914304,40330.09506988533,76.47058823529412,30,46721.33924484256,15,-45953.80463409431,767.5346107482474,66.66666666666666
4,0.5,1.4,3,capital_based,,0.98,37103.04718780506,37.10304718780506,2.2356202028685823,0.32684253045270806,-19.103309348418403,7.913932377366349,115,56,90988.68733596797,18,-49447.380065917954,41541.30727005002,75.67567567567568,26,40644.3163642883,15,-45082.57644653326,-4438.26008224496,63.41463414634146
4,0.6,1.4,3,capital_based,,0.98,35129.442726135196,35.129442726135196,2.1318095512724122,0.31682462012242263,-19.10330934841834,7.818271020910647,109,52,87419.21386337279,16,-47976.75266265866,39442.461200714126,76.47058823529412,26,40425.092639923125,15,-44738.111114502055,-4313.01847457893,63.41463414634146
5,0.6,1.3,3,fixed,150.0,,15160.736846923828,15.160736846923829,0.9939384861165745,0.5917727543390268,-12.77206419954606,8.560776020611907,125,52,16851.71527862549,22,-6585.619354248047,10266.095924377441,70.27027027027027,37,10952.961158752441,14,-5451.641464233398,5501.319694519043,72.54901960784314
5,0.5,1.3,3,fixed,150.0,,14042.110061645508,14.042110061645507,0.9248909863109,0.5659579029435227,-12.772064199546037,8.591782857071761,126,52,16155.168342590332,23,-7007.699203491211,9147.469139099121,69.33333333333334,37,10952.961158752441,14,-5451.641464233398,5501.319694519043,72.54901960784314
5,0.6,1.4,3,fixed,150.0,,13563.075256347656,13.563075256347656,0.8951296586538371,0.5595125079291163,-12.77206419954606,8.524715411338043,123,52,16851.71527862549,22,-6585.619354248047,10266.095924377441,70.27027027027027,35,9355.29956817627,14,-5451.641464233398,3903.658103942871,71.42857142857143
5,0.5,1.4,3,fixed,150.0,,12444.448471069336,12.444448471069336,0.825174787515448,0.5336993594740179,-12.772064199546037,8.555824962985506,124,52,16155.168342590332,23,-7007.699203491211,9147.469139099121,69.33333333333334,35,9355.29956817627,14,-5451.641464233398,3903.658103942871,71.42857142857143
4,0.5,1.3,3,fixed,150.0,,6830.025100708008,6.830025100708008,0.46398585205265075,0.36508958571798017,-19.103309348418346,7.937609539431602,119,56,15229.8002243042,18,-6634.27619934082,8595.524024963379,75.67567567567568,30,7789.34268951416,15,-9554.841613769531,-1765.498924255371,66.66666666666666
4,0.6,1.3,3,fixed,150.0,,6338.328552246094,6.338328552246093,0.4315184220581303,0.3555546074093987,-19.103309348418385,7.842254276558114,113,52,14409.345817565918,16,-6305.518341064453,8103.827476501465,76.47058823529412,30,7789.34268951416,15,-9554.841613769531,-1765.498924255371,66.66666666666666
4,0.5,1.4,3,fixed,150.0,,5742.33283996582,5.742332839965821,0.39197627709630645,0.32684253045270806,-19.103309348418403,7.913932377366349,115,56,15229.8002243042,18,-6634.27619934082,8595.524024963379,75.67567567567568,26,6701.650428771973,15,-9554.841613769531,-2853.1911849975586,63.41463414634146
4,0.6,1.4,3,fixed,150.0,,5250.636291503906,5.2506362915039055,0.3591976656924345,0.31682462012242263,-19.10330934841834,7.818271020910647,109,52,14409.345817565918,16,-6305.518341064453,8103.827476501465,76.47058823529412,26,6701.650428771973,15,-9554.841613769531,-2853.1911849975586,63.41463414634146
